Index,Type,Weight,Price
60,Scallop,2.404122725619699,2.0
61,Fish,6.682892235713904,3.5
62,Scallop,4.932995504699472,2.0
63,Shrimp,6.075613492667868,1.5
64,Crab,0.7596915145935831,4.5
65,Crab,0.0032645176773991036,4.5
66,Crab,4.119357099971475,4.5
67,Scallop,0.5401751752408039,2.0
68,Scallop,2.8763296024836396,2.0
69,Scallop,1.7917196150252368,2.0
70,Crab,1.7660162311708003,4.5
71,Crab,5.652393712341567,4.5
72,Crab,3.2686431092214,4.5
73,Shrimp,3.226904124458482,1.5
74,Scallop,2.857405827243533,2.0
75,Crab,4.994368864185928,4.5
76,Fish,1.732728097426727,3.5
77,Fish,2.199451950669106,3.5
78,Scallop,2.689793219213059,2.0
79,Crab,5.313614007648911,4.5
80,Fish,5.465001930038289,3.5
81,Crab,3.3379814464000646,4.5
82,Scallop,1.8701936077205414,2.0
83,Fish,1.7667164168026943,3.5
84,Crab,4.807970179820127,4.5
85,Crab,0.7146249976057276,4.5
86,Scallop,2.7758453237205254,2.0
87,Crab,5.754891683231135,4.5
88,Shrimp,3.5061307968002144,1.5
89,Shrimp,4.284306504378066,1.5
90,Shrimp,1.6317446611907616,1.5
91,Scallop,1.0908131986667016,2.0
92,Fish,0.5353972345764472,3.5
93,Fish,0.360110223832836,3.5
94,Shrimp,0.9227492970598944,1.5
95,Crab,6.305673159786455,4.5
96,Crab,5.004092529077793,4.5
97,Fish,2.1273839847630547,3.5
98,Shrimp,4.554867323217391,1.5
99,Crab,4.276213568036116,4.5
100,Fish,2.129080375417291,3.5
101,Shrimp,6.0107410373049515,1.5
102,Shrimp,2.2189768217354597,1.5
103,Shrimp,6.853041834461035,1.5
104,Scallop,6.41219445811812,2.0
105,Fish,5.567386306940346,3.5
106,Crab,5.4902880163255245,4.5
107,Shrimp,6.989103100684531,1.5
108,Fish,2.6424503584914247,3.5
109,Shrimp,0.05320949450736623,1.5
110,Shrimp,5.031263212501906,1.5
111,Shrimp,2.6827858548959034,1.5
112,Crab,6.128263067247223,4.5
113,Scallop,4.3411547675777635,2.0
114,Scallop,2.8733416800389056,2.0
115,Fish,0.6020698489098204,3.5
116,Crab,6.976838299055307,4.5
117,Crab,5.668826929642334,4.5
118,Crab,4.136874153684507,4.5
119,Fish,5.845627540657407,3.5
120,Scallop,5.490422469273326,2.0
121,Scallop,4.918952791888362,2.0
122,Fish,4.3376194243206845,3.5
123,Scallop,5.677447841431549,2.0
124,Scallop,4.858386706565462,2.0
125,Shrimp,2.912540621214311,1.5
126,Crab,0.7157332309070692,4.5
127,Scallop,1.6927372235955627,2.0
128,Crab,6.326595281411335,4.5
129,Shrimp,6.662191489816432,1.5
130,Scallop,0.544435435924623,2.0
131,Scallop,4.51617931578712,2.0
132,Scallop,3.24321607895356,2.0
133,Shrimp,6.794262572538049,1.5
134,Fish,2.4278757561130617,3.5
135,Crab,6.702498440064328,4.5
136,Shrimp,3.1083796871654177,1.5
137,Crab,3.5779789374780044,4.5
138,Fish,6.81568716359428,3.5
139,Crab,3.502937179946503,4.5
140,Scallop,5.397675356918431,2.0
141,Crab,5.153848594710952,4.5
142,Shrimp,3.8555314114449066,1.5
143,Shrimp,3.3614385072917194,1.5
144,Crab,1.0545402352962017,4.5
145,Shrimp,1.7512822598400923,1.5
146,Scallop,5.519464075046522,2.0
147,Crab,5.052318398253117,4.5
148,Crab,3.735967571509393,4.5
149,Shrimp,4.235779214267425,1.5
150,Fish,3.8359751807766127,3.5
151,Shrimp,2.736496530224655,1.5
152,Scallop,4.19566902788251,2.0
153,Fish,3.8177515088874943,3.5
154,Shrimp,4.36416504188213,1.5
155,Shrimp,2.6615462941805634,1.5
156,Scallop,3.2970535791703854,2.0
157,Fish,1.5336717508175777,3.5
158,Fish,1.4345215333867078,3.5
159,Scallop,4.488966262071693,2.0
160,Shrimp,1.3478589827738117,1.5
161,Scallop,1.2974411504000258,2.0
162,Fish,4.900088394545004,3.5
163,Shrimp,0.49756032937657135,1.5
164,Crab,5.435720001207644,4.5
165,Crab,4.692204493636066,4.5
166,Fish,6.206008224401596,3.5
167,Fish,3.6717542434119874,3.5
168,Scallop,5.330804781316648,2.0
169,Fish,1.5484597391296537,3.5
170,Fish,5.901692737178497,3.5
171,Scallop,0.8896250741925452,2.0
172,Crab,6.852274876817352,4.5
173,Fish,2.020606908920373,3.5
174,Shrimp,5.327169211711924,1.5
175,Crab,2.441188642472653,4.5
176,Fish,0.5868258061961643,3.5
177,Shrimp,1.7710844981686389,1.5
178,Scallop,1.6576501789570135,2.0
179,Scallop,4.203524208206309,2.0
180,Crab,1.8212629203720176,4.5
181,Scallop,1.1844937530579709,2.0
182,Shrimp,1.5281054732175803,1.5
183,Crab,3.556849955665787,4.5
184,Shrimp,5.571578902783221,1.5
185,Crab,6.522671351425834,4.5
186,Scallop,4.113009328200128,2.0
187,Scallop,6.007268069695638,2.0
188,Scallop,3.0980907566629607,2.0
189,Crab,3.1355690152272677,4.5
190,Crab,2.805453394575411,4.5
191,Shrimp,2.480083568108215,1.5
192,Scallop,1.431233687717166,2.0
193,Fish,4.455182436744288,3.5
194,Fish,5.002468053271568,3.5
195,Shrimp,4.570681251267966,1.5
196,Fish,1.7403870499655678,3.5
197,Crab,1.5880877109092764,4.5
198,Shrimp,3.833774480365422,1.5
199,Fish,3.061300340718174,3.5
200,Shrimp,2.8514318747389527,1.5
201,Fish,0.6500379263350081,3.5
202,Fish,0.9911212642578309,3.5
203,Scallop,1.9647775656965645,2.0
204,Fish,5.197355091393628,3.5
205,Shrimp,3.372261248852179,1.5
206,Scallop,0.6833870007954719,2.0
207,Shrimp,4.24921102636317,1.5
208,Fish,2.9450516816161407,3.5
209,Shrimp,0.5876431988747923,1.5
210,Crab,1.9745371031895291,4.5
211,Fish,5.050363378115172,3.5
212,Shrimp,1.7026762246800258,1.5
213,Shrimp,3.00844518430589,1.5
214,Crab,1.6843082756508752,4.5
215,Crab,4.801760701952058,4.5
216,Shrimp,6.363280253333336,1.5
217,Crab,0.9892080518796137,4.5
218,Shrimp,6.108576988313235,1.5
219,Fish,4.278473120471687,3.5
220,Shrimp,4.420810389076759,1.5
221,Crab,4.25782482321987,4.5
222,Crab,3.912229602629205,4.5
223,Scallop,3.299130998725764,2.0
224,Shrimp,0.7125122939757316,1.5
225,Scallop,6.518574462565489,2.0
226,Crab,4.302955370655002,4.5
227,Fish,5.143992591911931,3.5
228,Scallop,3.7323047234594875,2.0
229,Crab,4.15664284135391,4.5
230,Crab,0.8024893052160231,4.5
231,Scallop,0.3049441485311738,2.0
232,Fish,6.44664329964321,3.5
233,Shrimp,2.168999324393186,1.5
234,Fish,6.601679117257479,3.5
235,Scallop,4.4981066313095175,2.0
236,Fish,6.228982987285915,3.5
237,Shrimp,4.706892980439329,1.5
238,Fish,3.317423736660766,3.5
239,Shrimp,1.653916568342459,1.5
240,Scallop,2.4097544446553303,2.0
241,Scallop,6.868632244899166,2.0
242,Crab,3.297386163074007,4.5
243,Scallop,0.3185446350760802,2.0
244,Crab,1.8110947959993275,4.5
245,Crab,4.693056392020101,4.5
246,Scallop,1.2323211758736567,2.0
247,Scallop,5.224788742449583,2.0
248,Shrimp,2.8284968831283983,1.5
249,Shrimp,0.6867569765284645,1.5
250,Fish,2.488740551320845,3.5
251,Crab,6.266863062367148,4.5
252,Scallop,6.883892371898017,2.0
253,Fish,0.1336507387168796,3.5
254,Crab,3.294962700416438,4.5
255,Scallop,2.433699497666906,2.0
256,Crab,6.143545164377638,4.5
257,Crab,0.9879255659913206,4.5
258,Shrimp,1.0855175919175504,1.5
259,Scallop,3.5573225895350546,2.0
260,Scallop,2.3702435916345546,2.0
261,Crab,2.9236067192445825,4.5
262,Crab,5.199854724015569,4.5
263,Scallop,2.1386600720740834,2.0
264,Crab,2.4275070662397726,4.5
265,Crab,1.5055369708489215,4.5
266,Scallop,2.4058047903320268,2.0
267,Scallop,4.366809528379572,2.0
268,Shrimp,6.345549432354691,1.5
269,Fish,3.504313138517575,3.5
270,Fish,3.469562109764116,3.5
271,Crab,1.4764971246851135,4.5
272,Fish,3.6602413407448697,3.5
273,Crab,4.084429285843873,4.5
274,Shrimp,0.6588133635477549,1.5
275,Fish,2.8892946149896837,3.5
276,Crab,1.4458246527572602,4.5
277,Shrimp,0.22258067671793313,1.5
278,Scallop,5.146448795040967,2.0
279,Shrimp,2.3988903610706704,1.5
280,Crab,3.1770475665461033,4.5
281,Fish,4.412036433090937,3.5
282,Fish,1.8171425599631796,3.5
283,Scallop,6.822402066833732,2.0
284,Shrimp,3.166401172120021,1.5
285,Shrimp,3.670145983793182,1.5
286,Scallop,3.706132645057749,2.0
287,Crab,3.7416361671837923,4.5
288,Shrimp,6.521643413714744,1.5
289,Scallop,4.0925072863106795,2.0
290,Crab,2.5113104933249804,4.5
291,Shrimp,5.261684521976884,1.5
292,Shrimp,4.70210284572981,1.5
293,Shrimp,6.3744984256101835,1.5
294,Crab,3.1930401392372536,4.5
295,Fish,1.9600830106181444,3.5
296,Crab,5.614171114065568,4.5
297,Shrimp,4.503211833175449,1.5
298,Shrimp,6.174721713765607,1.5
299,Crab,1.6867493335966481,4.5
300,Crab,1.656112317597409,4.5
